Country,year,gfn2gdp,efn2gdp,FCD2GDweo,grossdebt2gdpweo,externdebt2gdp,credit2privat,stdebt2extdebt,CA2gdp,debtserv2res,IntExp2rev,interExtdeb2gdp,debtserv2expor,crisis
Albania,1990,,,,,0,,,-3,,,0,,0
Albania,1991,,,,,4,,0,-4,,,0,2,1
Albania,1996,,,,,27,4,0,-2,,,0,3,0
Albania,1997,,,,,26,4,0,-8,,,0,8,1
Albania,1999,,,34,1,39,4,0,-7,,34,1,9,0
Albania,2000,,,32,1,34,4,0,-2,,27,0,4,1
Albania,2001,,8,31,1,33,4,0,-7,-14,23,0,4,0
Albania,2002,,7,29,1,32,5,0,-6,-22,16,0,4,0
Albania,2003,,11,33,1,27,6,0,-10,135,16,0,6,0
Albania,2004,,8,31,1,25,6,0,-8,6,18,0,5,0
Albania,2005,69,7,30,1,23,8,0,-6,6,15,0,5,0
Albania,2006,60,10,30,1,21,10,0,-9,6,13,0,5,0
Albania,2007,55,8,29,1,25,15,0,-6,12,11,1,9,0
Albania,2008,49,13,29,1,25,22,0,-11,15,10,1,10,0
Albania,2009,43,19,34,1,28,30,0,-16,21,11,0,12,0
Albania,2010,44,23,40,1,34,35,0,-16,38,12,1,26,0
Albania,2011,35,17,44,1,33,37,0,-11,28,13,1,18,0
Albania,2012,33,15,44,1,33,38,0,-13,14,12,1,8,0
Albania,2013,33,12,45,1,52,39,0,-10,15,13,1,9,0
Albania,2014,36,13,40,1,60,39,0,-9,20,13,1,15,1
Albania,2017,28,13,49,1,62,36,0,-8,29,9,2,27,0
Algeria,1990,,,,,47,68,,-2,,6,4,,0
Algeria,1991,,,,,46,63,0,2,1161,6,3,67,1
Algeria,1993,,,70,1,54,46,0,3,639,7,5,80,0
Algeria,1994,,,58,1,50,7,0,2,603,8,4,82,1
Algeria,1999,,,70,1,63,4,0,-2,81,14,5,51,0
Algeria,2000,,,60,1,58,5,0,0,118,13,5,40,0
Algeria,2001,,-12,61,1,46,5,0,17,38,10,3,20,0
Algeria,2002,,-8,56,1,41,6,0,13,25,10,3,23,0
